Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-01-01,541.2000122070312,545.125,538.0750122070312,544.375,1597538.0,4,1,1,7791.2998046875,7.04998779296875
2016-01-04,542.0,542.0,534.0499877929688,535.25,2593768.0,0,4,1,7784.64990234375,7.95001220703125
2016-01-05,535.0999755859375,537.4000244140625,530.6749877929688,531.2000122070312,1580436.0,1,5,1,7741.0,6.72503662109375
2016-01-06,528.3250122070312,538.375,528.3250122070312,533.5499877929688,2082768.0,2,6,1,7568.2998046875,10.04998779296875
2016-01-07,530.0499877929688,532.4500122070312,524.8499755859375,528.0999755859375,3027714.0,3,7,1,7601.35009765625,7.60003662109375
2016-01-08,530.9749755859375,532.25,528.625,531.1749877929688,1744178.0,4,8,1,7563.85009765625,3.625
2016-01-11,526.0250244140625,530.5,522.6500244140625,529.2999877929688,1644456.0,0,11,1,7510.2998046875,7.8499755859375
2016-01-12,531.9500122070312,531.9500122070312,521.75,523.4749755859375,2129368.0,1,12,1,7562.39990234375,10.20001220703125
2016-01-13,526.0,531.375,518.5,530.0750122070312,2257574.0,2,13,1,7536.7998046875,12.875
2016-01-14,525.0750122070312,528.7000122070312,519.75,524.875,3139592.0,3,14,1,7437.7998046875,8.95001220703125
2016-01-15,524.0,527.7249755859375,519.0499877929688,521.0750122070312,2708630.0,4,15,1,7351.0,8.67498779296875
2016-01-18,517.8250122070312,520.7249755859375,510.5,512.9249877929688,3247694.0,0,18,1,7435.10009765625,10.2249755859375
2016-01-19,513.5999755859375,518.7750244140625,513.1500244140625,517.9000244140625,3202606.0,1,19,1,7309.2998046875,5.625
2016-01-20,512.5,554.0,503.95001220703125,509.1499938964844,4781794.0,2,20,1,7276.7998046875,50.04998779296875
2016-01-21,510.5,516.625,506.70001220703125,511.5,3150402.0,3,21,1,7422.4501953125,9.92498779296875
2016-01-22,512.8499755859375,522.125,511.0249938964844,515.1500244140625,2118142.0,4,22,1,7436.14990234375,11.100006103515625
2016-01-25,519.9749755859375,523.3499755859375,516.5250244140625,520.5750122070312,5071942.0,0,25,1,7437.75,6.824951171875
2016-01-27,524.2249755859375,524.3499755859375,516.5,517.8250122070312,2019734.0,2,27,1,7424.64990234375,7.8499755859375
2016-01-28,519.5,523.4500122070312,515.0,515.8499755859375,4975986.0,3,28,1,7563.5498046875,8.45001220703125
2016-01-29,517.5999755859375,527.4749755859375,517.5999755859375,524.9249877929688,2680092.0,4,29,1,7555.9501953125,9.875
2016-02-01,529.0,533.5,526.8499755859375,529.875,2304742.0,0,1,2,7455.5498046875,6.6500244140625
2016-02-02,532.5,532.625,525.0999755859375,526.9000244140625,3264314.0,1,2,2,7361.7998046875,7.5250244140625
2016-02-03,522.25,525.7000122070312,521.0,521.9249877929688,2425122.0,2,3,2,7404.0,4.70001220703125
2016-02-04,524.0,527.4500122070312,522.7750244140625,524.5999755859375,2837996.0,3,4,2,7489.10009765625,4.67498779296875
2016-02-05,526.4000244140625,531.9000244140625,522.7999877929688,527.625,3761952.0,4,5,2,7387.25,9.10003662109375
2016-02-08,527.5,529.0,515.1500244140625,517.9249877929688,1740962.0,0,8,2,7298.2001953125,13.8499755859375
2016-02-09,513.3499755859375,515.7750244140625,510.32501220703125,513.0250244140625,2767730.0,1,9,2,7215.7001953125,5.45001220703125
2016-02-10,511.95001220703125,515.0750122070312,505.04998779296875,506.4750061035156,3841140.0,2,10,2,6976.35009765625,10.0250244140625
2016-02-11,505.0,506.5,484.1000061035156,487.6499938964844,4401800.0,3,11,2,6980.9501953125,22.399993896484375
2016-02-12,489.5,493.2250061035156,483.0,485.70001220703125,6271072.0,4,12,2,7162.9501953125,10.225006103515625
2016-02-15,490.0,494.125,485.54998779296875,486.79998779296875,5456480.0,0,15,2,7048.25,8.57501220703125
2016-02-16,490.75,491.0,481.0,486.7250061035156,3568048.0,1,16,2,7108.4501953125,10.0
2016-02-17,488.45001220703125,489.95001220703125,479.5,487.45001220703125,3751962.0,2,17,2,7191.75,10.45001220703125
2016-02-18,493.0,495.625,488.5,494.7250061035156,3399928.0,3,18,2,7210.75,7.125
2016-02-19,494.375,496.29998779296875,486.75,494.6499938964844,1664330.0,4,19,2,7234.5498046875,9.54998779296875
2016-02-22,491.5,498.0,491.5,494.375,2001198.0,0,22,2,7109.5498046875,6.5
2016-02-23,492.45001220703125,492.75,483.0,485.0249938964844,3039160.0,1,23,2,7018.7001953125,9.75
2016-02-24,480.0,481.45001220703125,473.20001220703125,474.79998779296875,3231734.0,2,24,2,6970.60009765625,8.25
2016-02-25,477.0,478.625,469.1000061035156,471.32501220703125,4231598.0,3,25,2,7029.75,9.524993896484375
2016-02-26,475.0,485.5,472.5,480.5,3104694.0,4,26,2,6987.0498046875,13.0
2016-02-29,480.54998779296875,491.29998779296875,464.0,485.92498779296875,4406376.0,0,29,2,7222.2998046875,27.29998779296875
2016-03-01,487.4750061035156,493.375,485.92498779296875,492.07501220703125,2161280.0,1,1,3,7368.85009765625,7.45001220703125
2016-03-02,499.0,505.45001220703125,497.5,503.6000061035156,3179488.0,2,2,3,7475.60009765625,7.95001220703125
2016-03-03,505.375,510.0,505.0,507.92498779296875,2305200.0,3,3,3,7485.35009765625,5.0
2016-03-04,507.7250061035156,512.4500122070312,496.54998779296875,510.2749938964844,2852312.0,4,4,3,7485.2998046875,15.9000244140625
2016-03-08,512.0,512.0,504.75,507.07501220703125,956844.0,1,8,3,7531.7998046875,7.25
2016-03-09,506.5,514.9500122070312,503.375,512.4000244140625,3264086.0,2,9,3,7486.14990234375,11.57501220703125
2016-03-10,512.4000244140625,512.875,505.04998779296875,510.625,1335696.0,3,10,3,7510.2001953125,7.82501220703125
2016-03-11,509.95001220703125,515.4000244140625,506.5,514.3499755859375,2365428.0,4,11,3,7538.75,8.9000244140625
2016-03-14,514.0,518.9749755859375,512.625,513.7750244140625,1504328.0,0,14,3,7460.60009765625,6.3499755859375
2016-03-15,513.9500122070312,516.7000122070312,510.82501220703125,513.3499755859375,3845018.0,1,15,3,7498.75,5.875
2016-03-16,513.5,517.125,509.4750061035156,515.2249755859375,2401774.0,2,16,3,7512.5498046875,7.649993896484375
2016-03-17,517.4749755859375,519.5,505.57501220703125,509.20001220703125,2556742.0,3,17,3,7604.35009765625,13.92498779296875
2016-03-18,511.4750061035156,516.0,507.67498779296875,514.2000122070312,2067534.0,4,18,3,7704.25,8.32501220703125
