Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-01-01,237.5454559326172,239.63636779785156,234.5454559326172,239.09091186523438,5998096.0,4,1,1,7791.2998046875,5.090911865234375
2016-01-04,237.27272033691406,237.59091186523438,231.5,232.31817626953125,9435792.0,0,4,1,7784.64990234375,6.090911865234375
2016-01-05,232.9545440673828,234.09091186523438,228.81817626953125,233.36363220214844,8966977.0,1,5,1,7741.0,5.272735595703125
2016-01-06,232.18182373046875,233.40908813476562,226.5454559326172,227.36363220214844,17416181.0,2,6,1,7568.2998046875,6.8636322021484375
2016-01-07,224.0,225.18182373046875,221.0,224.31817626953125,18240712.0,3,7,1,7601.35009765625,4.18182373046875
2016-01-08,222.27272033691406,225.27272033691406,221.31817626953125,222.77272033691406,14404391.0,4,8,1,7563.85009765625,3.9545440673828125
2016-01-11,219.90908813476562,221.72726440429688,216.40908813476562,217.68182373046875,14208668.0,0,11,1,7510.2998046875,5.31817626953125
2016-01-12,219.09091186523438,219.86363220214844,214.18182373046875,215.22726440429688,11895899.0,1,12,1,7562.39990234375,5.6818084716796875
2016-01-13,216.18182373046875,220.81817626953125,210.09091186523438,217.72726440429688,18215710.0,2,13,1,7536.7998046875,10.727264404296875
2016-01-14,212.90908813476562,218.0,210.72726440429688,214.31817626953125,14600781.0,3,14,1,7437.7998046875,7.272735595703125
2016-01-15,214.18182373046875,214.81817626953125,201.59091186523438,204.0454559326172,22333902.0,4,15,1,7351.0,13.227264404296875
2016-01-18,203.81817626953125,207.90908813476562,198.0,202.81817626953125,30239009.0,0,18,1,7435.10009765625,9.909088134765625
2016-01-19,204.22726440429688,210.22726440429688,204.22726440429688,207.9545440673828,16222439.0,1,19,1,7309.2998046875,6.0
2016-01-20,204.4545440673828,207.18182373046875,200.09091186523438,204.0,14353478.0,2,20,1,7276.7998046875,7.090911865234375
2016-01-21,207.72726440429688,212.27272033691406,203.81817626953125,205.72726440429688,15665863.0,3,21,1,7422.4501953125,8.454544067382812
2016-01-22,211.4545440673828,213.5454559326172,208.90908813476562,211.59091186523438,15148522.0,4,22,1,7436.14990234375,4.6363677978515625
2016-01-25,214.5,216.81817626953125,212.90908813476562,214.59091186523438,17137268.0,0,25,1,7437.75,3.909088134765625
2016-01-27,216.36363220214844,217.5454559326172,213.36363220214844,215.72726440429688,12155561.0,2,27,1,7424.64990234375,4.18182373046875
2016-01-28,216.86363220214844,217.77272033691406,210.22726440429688,212.0,24258166.0,3,28,1,7563.5498046875,7.5454559326171875
2016-01-29,199.09091186523438,213.0,199.09091186523438,209.22726440429688,47755494.0,4,29,1,7555.9501953125,13.909088134765625
2016-02-01,206.36363220214844,206.68182373046875,196.27272033691406,197.4545440673828,40395715.0,0,1,2,7455.5498046875,10.409103393554688
2016-02-02,198.18182373046875,199.72726440429688,190.63636779785156,191.27272033691406,31821419.0,1,2,2,7361.7998046875,9.090896606445312
2016-02-03,188.18182373046875,189.81817626953125,184.13636779785156,185.5,23592288.0,2,3,2,7404.0,5.6818084716796875
