Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-01-01,4621.0,4668.0,4602.35009765625,4638.5,243597.0,4,1,1,7791.2998046875,65.64990234375
2016-01-04,4635.0,4657.0,4571.75,4580.64990234375,405501.0,0,4,1,7784.64990234375,85.25
2016-01-05,4599.9501953125,4600.75,4557.25,4566.9501953125,509285.0,1,5,1,7741.0,43.5
2016-01-06,4592.0,4593.0,4468.0,4480.7998046875,593742.0,2,6,1,7568.2998046875,125.0
2016-01-07,4449.7001953125,4449.7001953125,4251.85009765625,4267.89990234375,1200069.0,3,7,1,7601.35009765625,197.85009765625
2016-01-08,4286.2998046875,4325.0,4195.7998046875,4214.75,994652.0,4,8,1,7563.85009765625,129.2001953125
2016-01-11,4190.0,4300.0,4117.0,4272.39990234375,865799.0,0,11,1,7510.2998046875,183.0
2016-01-12,4310.0,4324.7998046875,4260.0,4269.0,481142.0,1,12,1,7562.39990234375,64.7998046875
2016-01-13,4298.0,4310.0,4221.35009765625,4291.25,431206.0,2,13,1,7536.7998046875,88.64990234375
2016-01-14,4239.0,4289.0,4212.7001953125,4248.25,402026.0,3,14,1,7437.7998046875,76.2998046875
2016-01-15,4265.0,4340.0,4254.0,4273.35009765625,592183.0,4,15,1,7351.0,86.0
2016-01-18,4279.0,4289.25,4172.85009765625,4236.2001953125,396124.0,0,18,1,7435.10009765625,116.39990234375
2016-01-19,4241.0,4244.9501953125,4165.0,4198.14990234375,499001.0,1,19,1,7309.2998046875,79.9501953125
2016-01-20,4169.85009765625,4189.9501953125,4028.5,4058.949951171875,679992.0,2,20,1,7276.7998046875,161.4501953125
2016-01-21,4084.949951171875,4084.949951171875,3870.0,3891.699951171875,1212801.0,3,21,1,7422.4501953125,214.949951171875
2016-01-22,3942.949951171875,4119.89990234375,3930.14990234375,4104.9501953125,1063413.0,4,22,1,7436.14990234375,189.75
2016-01-25,4125.9501953125,4172.0,4073.89990234375,4081.35009765625,608634.0,0,25,1,7437.75,98.10009765625
2016-01-27,4131.0,4179.0,4092.0,4111.9501953125,886550.0,2,27,1,7424.64990234375,87.0
2016-01-28,4080.0,4139.89990234375,4031.0,4103.2998046875,1677354.0,3,28,1,7563.5498046875,108.89990234375
2016-01-29,3925.0,4124.0,3923.0,4095.85009765625,2147231.0,4,29,1,7555.9501953125,201.0
2016-02-01,4100.89990234375,4119.0,3933.64990234375,3948.25,1904034.0,0,1,2,7455.5498046875,185.35009765625
2016-02-02,3952.60009765625,3985.0,3851.550048828125,3874.949951171875,902619.0,1,2,2,7361.7998046875,133.449951171875
2016-02-03,3870.0,3870.0,3784.64990234375,3828.35009765625,1101308.0,2,3,2,7404.0,85.35009765625
2016-02-04,3864.0,3881.89990234375,3774.0,3794.64990234375,597800.0,3,4,2,7489.10009765625,107.89990234375
2016-02-05,3784.699951171875,3790.0,3693.300048828125,3723.39990234375,1245857.0,4,5,2,7387.25,96.699951171875
2016-02-08,3749.0,3789.0,3715.050048828125,3732.550048828125,559505.0,0,8,2,7298.2001953125,73.949951171875
2016-02-09,3685.0,3689.0,3620.0,3657.10009765625,657011.0,1,9,2,7215.7001953125,69.0
2016-02-10,3639.85009765625,3718.0,3600.0,3678.550048828125,795377.0,2,10,2,6976.35009765625,118.0
2016-02-11,3651.10009765625,3664.300048828125,3518.5,3541.449951171875,1066224.0,3,11,2,6980.9501953125,145.800048828125
2016-02-12,3570.0,3588.0,3461.0,3549.64990234375,1211696.0,4,12,2,7162.9501953125,127.0
2016-02-15,3605.949951171875,3724.89990234375,3604.39990234375,3711.25,1182286.0,0,15,2,7048.25,120.5
