Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-01-01,810.0499877929688,817.9000244140625,806.2000122070312,815.5499877929688,986728.0,4,1,1,7791.2998046875,11.70001220703125
2016-01-04,813.9000244140625,821.2999877929688,795.0999755859375,799.0999755859375,2388588.0,0,4,1,7784.64990234375,26.20001220703125
2016-01-05,807.0,807.0,792.0499877929688,800.5,1632394.0,1,5,1,7741.0,14.95001220703125
2016-01-06,805.0,805.7999877929688,790.75,791.9500122070312,2168214.0,2,6,1,7568.2998046875,15.04998779296875
2016-01-07,788.0,799.0,778.6500244140625,783.7999877929688,2082334.0,3,7,1,7601.35009765625,20.3499755859375
2016-01-08,795.0,805.7999877929688,786.0,794.1500244140625,2315237.0,4,8,1,7563.85009765625,19.79998779296875
2016-01-11,789.5,804.5,779.0999755859375,782.25,3424538.0,0,11,1,7510.2998046875,25.4000244140625
2016-01-12,784.0,794.0,784.0,788.1500244140625,1787888.0,1,12,1,7562.39990234375,10.0
2016-01-13,795.0,804.6500244140625,781.5,796.5999755859375,3447651.0,2,13,1,7536.7998046875,23.1500244140625
2016-01-14,789.7999877929688,796.4000244140625,785.7000122070312,791.8499755859375,3233849.0,3,14,1,7437.7998046875,10.70001220703125
2016-01-15,797.75,799.0,780.2000122070312,787.0999755859375,2370237.0,4,15,1,7351.0,18.79998779296875
2016-01-18,787.0,797.5,775.0,784.9500122070312,4202772.0,0,18,1,7435.10009765625,22.5
2016-01-19,786.0,796.7999877929688,781.25,793.9000244140625,2169752.0,1,19,1,7309.2998046875,15.54998779296875
2016-01-20,785.5,805.0,775.5999755859375,792.5999755859375,4222563.0,2,20,1,7276.7998046875,29.4000244140625
2016-01-21,800.0,803.4000244140625,764.0,773.1500244140625,3264178.0,3,21,1,7422.4501953125,39.4000244140625
2016-01-22,779.0,794.0,773.2999877929688,789.2000122070312,1970106.0,4,22,1,7436.14990234375,20.70001220703125
2016-01-25,795.0,814.9000244140625,794.4500122070312,807.25,2905098.0,0,25,1,7437.75,20.45001220703125
2016-01-27,817.0,823.25,809.2999877929688,821.1500244140625,3609838.0,2,27,1,7424.64990234375,13.95001220703125
