Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-01-01,246.7587890625,247.6162567138672,241.4234619140625,245.23440551757812,3307909.0,4,1,1,7791.2998046875,6.1927947998046875
2016-01-04,242.94784545898438,250.76028442382812,241.1376495361328,244.75804138183594,7327733.0,0,4,1,7784.64990234375,9.622634887695312
2016-01-05,245.3773193359375,263.3363952636719,245.3773193359375,261.3356628417969,15753483.0,1,5,1,7741.0,17.959075927734375
2016-01-06,259.90655517578125,261.6214904785156,253.42794799804688,256.0479736328125,7824538.0,2,6,1,7568.2998046875,8.19354248046875
2016-01-07,250.56973266601562,250.85556030273438,236.46923828125,238.08888244628906,9975180.0,3,7,1,7601.35009765625,14.386322021484375
2016-01-08,240.08963012695312,244.1864013671875,237.279052734375,241.614013671875,6611968.0,4,8,1,7563.85009765625,6.9073486328125
2016-01-11,235.32594299316406,241.37582397460938,232.70591735839844,239.7561798095703,6387245.0,0,11,1,7510.2998046875,8.669906616210938
2016-01-12,241.0900115966797,243.23365783691406,231.6579132080078,234.13502502441406,5694492.0,1,12,1,7562.39990234375,11.57574462890625
2016-01-13,236.7550506591797,239.8990936279297,225.798583984375,234.94485473632812,7853668.0,2,13,1,7536.7998046875,14.100509643554688
2016-01-14,223.8931121826172,231.08627319335938,220.55853271484375,227.4658660888672,9325559.0,3,14,1,7437.7998046875,10.527740478515625
2016-01-15,231.03863525390625,231.51499938964844,217.31922912597656,218.84361267089844,6288878.0,4,15,1,7351.0,14.195770263671875
2016-01-18,218.93887329101562,232.46774291992188,214.55628967285156,224.75057983398438,8834992.0,0,18,1,7435.10009765625,17.911453247070312
2016-01-19,226.3225860595703,229.5618896484375,220.32034301757812,226.75132751464844,6616835.0,1,19,1,7309.2998046875,9.241546630859375
2016-01-20,221.79708862304688,222.94036865234375,215.7948455810547,221.03489685058594,5759001.0,2,20,1,7276.7998046875,7.1455230712890625
2016-01-21,223.60728454589844,228.0375213623047,220.32034301757812,224.46475219726562,6555133.0,3,21,1,7422.4501953125,7.7171783447265625
2016-01-22,227.03713989257812,238.94635009765625,226.41786193847656,236.088134765625,6833746.0,4,22,1,7436.14990234375,12.528488159179688
2016-01-25,237.23143005371094,244.28167724609375,237.04087829589844,242.85256958007812,5853184.0,0,25,1,7437.75,7.2407989501953125
2016-01-27,242.94784545898438,247.6162567138672,241.4234619140625,245.42495727539062,6545003.0,2,27,1,7424.64990234375,6.1927947998046875
2016-01-28,244.8533172607422,246.2347869873047,240.47073364257812,242.18565368652344,6315180.0,3,28,1,7563.5498046875,5.7640533447265625
2016-01-29,242.6143798828125,246.5682373046875,235.7546844482422,237.89834594726562,7082718.0,4,29,1,7555.9501953125,10.813552856445312
2016-02-01,237.1361541748047,242.90020751953125,234.84957885742188,237.51724243164062,4640019.0,0,1,2,7455.5498046875,8.050628662109375
2016-02-02,238.42234802246094,239.13690185546875,219.22470092773438,220.51089477539062,8804608.0,1,2,2,7361.7998046875,19.912200927734375
2016-02-03,217.12867736816406,222.8450927734375,210.98353576660156,213.4130096435547,8178043.0,2,3,2,7404.0,11.861557006835938
2016-02-04,213.79409790039062,217.79559326171875,208.64932250976562,215.27084350585938,12290303.0,3,4,2,7489.10009765625,9.146270751953125
2016-02-05,205.79110717773438,227.03713989257812,205.79110717773438,222.79747009277344,27083454.0,4,5,2,7387.25,21.24603271484375
2016-02-08,227.32296752929688,232.42010498046875,221.08253479003906,223.03564453125,10845012.0,0,8,2,7298.2001953125,11.337570190429688
